event_name,event_date,weight_class,fighter1,fighter2,method,round,outcome,timestamp
UFC Fight Night: Blanchfield vs. Barber,2025-05-31,Lightweight,Mateusz Gamrot,Ludovit Klein,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Blanchfield vs. Barber,2025-05-31,Welterweight,Ramiz Brahimaj,Billy Ray Goff,SUB              Guillotine Choke,1,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Blanchfield vs. Barber,2025-05-31,Light Heavyweight,Dustin Jacoby,Bruno Lopes,KO/TKO              Punch,1,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Blanchfield vs. Barber,2025-05-31,Women's Featherweight,Ketlen Vieira,Macy Chiasson,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Blanchfield vs. Barber,2025-05-31,Middleweight,Zachary Reese,Dusko Todorovic,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Blanchfield vs. Barber,2025-05-31,Flyweight,Allan Nascimento,Jafel Filho,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Blanchfield vs. Barber,2025-05-31,Lightweight,Jordan Leavitt,Kurt Holobaugh,SUB              Anaconda Choke,1,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Blanchfield vs. Barber,2025-05-31,Lightweight,Bolaji Oki,Michael Aswell,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Blanchfield vs. Barber,2025-05-31,Women's Strawweight,Alice Ardelean,Rayanne dos Santos,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Burns vs. Morales,2025-05-17,Welterweight,Michael Morales,Gilbert Burns,KO/TKO              Punches,1,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Burns vs. Morales,2025-05-17,Lightweight,Mairon Santos,Sodiq Yusuff,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Burns vs. Morales,2025-05-17,Middleweight,Nursulton Ruziboev,Dustin Stoltzfus,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Burns vs. Morales,2025-05-17,Featherweight,Melquizael Costa,Julian Erosa,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Burns vs. Morales,2025-05-17,Lightweight,Gabe Green,Matheus Camilo,SUB              Rear Naked Choke,2,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Burns vs. Morales,2025-05-17,Lightweight,Jared Gordon,Thiago Moises,KO/TKO              Punch,1,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Burns vs. Morales,2025-05-17,Featherweight,Yadier del Valle,Connor Matthews,SUB              Rear Naked Choke,1,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Burns vs. Morales,2025-05-17,Women's Bantamweight,Luana Santos,Tainara Lisboa,SUB              Keylock,2,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Burns vs. Morales,2025-05-17,Women's Strawweight,Denise Gomes,Elise Reed,KO/TKO              Punches,2,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Burns vs. Morales,2025-05-17,Flyweight,HyunSung Park,Carlos Hernandez,SUB              Rear Naked Choke,1,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Burns vs. Morales,2025-05-17,Women's Strawweight,Tecia Pennington,Luana Pinheiro,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 315: Muhammad vs. Della Maddalena,2025-05-10,Welterweight,Jack Della Maddalena,Belal Muhammad,U-DEC,5,fighter1,2025-06-06 18:22:58.060564
UFC 315: Muhammad vs. Della Maddalena,2025-05-10,Women's Flyweight,Valentina Shevchenko,Manon Fiorot,U-DEC,5,fighter1,2025-06-06 18:22:58.060564
UFC 315: Muhammad vs. Della Maddalena,2025-05-10,Featherweight,Aiemann Zahabi,Jose Aldo,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 315: Muhammad vs. Della Maddalena,2025-05-10,Women's Flyweight,Natalia Silva,Alexa Grasso,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 315: Muhammad vs. Della Maddalena,2025-05-10,Lightweight,Benoit Saint Denis,Kyle Prepolec,SUB              Arm Triangle,2,fighter1,2025-06-06 18:22:58.060564
UFC 315: Muhammad vs. Della Maddalena,2025-05-10,Welterweight,Mike Malott,Charles Radtke,KO/TKO              Punch,2,fighter1,2025-06-06 18:22:58.060564
UFC 315: Muhammad vs. Della Maddalena,2025-05-10,Women's Flyweight,Jasmine Jasudavicius,Jessica Andrade,SUB              Rear Naked Choke,1,fighter1,2025-06-06 18:22:58.060564
UFC 315: Muhammad vs. Della Maddalena,2025-05-10,Light Heavyweight,Modestas Bukauskas,Ion Cutelaba,S-DEC,3,fighter1,2025-06-06 18:22:58.060564
